airac 2609
ORIGIN	DEST	ROUTE	CREATION_AIRAC	AUTHOR
ZGGG	ZSSS	ZGGG DCT BOVMA W41 OMDUP G471 PLT V171 SHR A599 ELNEX G204 MULOV V73 SUPAR DCT ZSSS	2608	LainoaSoftware
RKSI	RJBB	RKSI DCT OSPOT DCT ENSAL G585 SAPRA Y599 KABKI Y597 MIHOU Y361 TONBI DCT SAYOH DCT OMBIP DCT SASVO DCT RJBB	2609	LainoaSoftware
RJBB	RKSI	RJBB DCT LINDA DCT WIMPY DCT ATMUG DCT SOUJA Y287 DULOK DCT XZE G585 GUKDO DCT RKSI	2608	LainoaSoftware
OEJN	HECA	OEJN DCT BOMOX M686 ORKEN L315 HGD V603 GIDID T91 EMOVA L677 CVO DCT HECA	2607	LainoaSoftware
RPLL	RPVM	RPLL DCT LAIYA B473 MINOR DCT SAGAM W11 MULOP DCT RPVM	2608	LainoaSoftware
VOBL	VIDP	VOBL DCT OPAMO W56 BBI W88 PONIP W218 TOGOL J89 LUTGU W19 BPL Q24 BAVOX DCT VIDP	2608	LainoaSoftware
HECA	OEJN	HECA DCT DEDEV DCT GIDID V603 HGD L315 SOBEL V730 MAK T55 DEDLU M999 MUVOL DCT ALKEV DCT KAVOD DCT OEJN	2608	LainoaSoftware
RPVM	RPLL	RPVM DCT MULOP W11 CONDE DCT RPLL	2608	LainoaSoftware
SKBO	SKRG	SKBO DCT BO505 DCT GEPKI W23 MUGOP W11 MRN DCT SKRG	2608	LainoaSoftware
VIDP	VOBL	VIDP DCT AKRIB Z16 BULDI W19 BPL J3 HIA Q21 TELUV DCT VOBL	2608	LainoaSoftware
ZBAA	ZSSS	ZBAA DCT ELKUR W40 YQG W142 DALIM A593 PIMOL DCT ZSSS	2608	LainoaSoftware
ZSSS	ZBAA	ZSSS DCT IBEGI B221 XDX DCT QD502 DCT JDW V89 DOVIV W55 DUMAP DCT ZBAA	2608	LainoaSoftware
WIII	WSSS	WIII DCT RIMTI M766 TKG G209 PLB G579 REPOV DCT WSSS	2608	LainoaSoftware
RJAA	RKSI	RJAA DCT PIGOK Y50 OLTOM DCT MORIZ Y295 KCC G597 YME Y18 ORUDA DCT XZE G597 KARBU DCT RKSI	2608	LainoaSoftware
ZGSZ	ZSHC	ZGSZ DCT OVGOT R200 BEBEM A470 UGAGO DCT ZSHC	2608	LainoaSoftware
ROAH	RJTT	ROAH DCT ESKOB DCT HIVAS DCT OKUMA A582 ONC V71 POMAS Y574 SHIBK Y57 SUKBO Y571 BILLY Y21 AKSEL DCT XAC DCT RJTT	2608	LainoaSoftware
ZSHC	ZGSZ	ZSHC DCT ABVIL G204 OREXA DCT TUPGA A599 PLT W19 NOMAR DCT GG538 DCT SHL W22 IDUMA DCT BEKOL DCT ZGSZ	2608	LainoaSoftware
FALE	FAOR	FALE DCT GYV DCT GEPOM UZ29 UNPOM DCT FAOR	2608	LainoaSoftware
FAOR	FALE	FAOR DCT APDAK Q48 APMAT DCT FALE	2608	LainoaSoftware
RJTT	ROAH	RJTT DCT GUSRO Y20 SUGAL Y88 NAKTU Y12 SHIMA V52 KEC Z262 ALUYO Z26 TONAR Y525 ONC A582 OKUMA DCT ROAH	2608	LainoaSoftware
WSSS	WIII	WSSS DCT ANITO DCT ENPUX B469 BIDAK DCT WIII	2608	LainoaSoftware
SKRG	SKBO	SKRG DCT MUGOP DCT SKBO	2608	LainoaSoftware
RKSI	RJAA	RKSI DCT OSPOT DCT BUKIL DCT BASEM G585 XZE G597 KCC Y88 AKAGI DCT AGRIS DCT GODIN DCT SWAMP DCT RJAA	2608	LainoaSoftware
ZGGG	ZSHC	ZGGG DCT AGVIL DCT PUNIR G586 WYN A599 ELNEX G204 UGAGO DCT ZSHC	2608	LainoaSoftware
ZSHC	ZGGG	ZSHC DCT ELNEX A599 PLT W19 OLPAB DCT ZGGG	2608	LainoaSoftware
WSSS	WMKK	WSSS DCT MASBO A457 GUPTA DCT WMKK	2608	LainoaSoftware
SBSP	SBRJ	SBSP DCT NIBRU UZ171 KEVUN DCT SBRJ	2608	LainoaSoftware
SBRJ	SBSP	SBRJ DCT EVSOB DCT KOVGO UZ45 IBDAL DCT SBSP	2608	LainoaSoftware
WMKK	WSSS	WMKK DCT RUSBU Y511 TOPOR A464 ARAMA DCT WSSS	2608	LainoaSoftware
YMML	YBBN	YMML DCT MNG W663 VINOP W357 PKS W207 IVL W598 IDNER W356 DEBEE DCT ENLIP DCT YBBN	2608	LainoaSoftware
ZGSZ	ZBAA	ZGSZ DCT SULAS V17 UBDOB V18 XEBUL G471 PLT V172 OMKOB W224 PULES W19 NCH W105 XSH V110 HOK A461 ZHO B208 OBMEP W56 LEBUN W57 BEKDO W157 AVBOX DCT ZBAA	2608	LainoaSoftware
YBBN	YMML	YBBN DCT SCOTT DCT GOMOL Q16 APAGI Q58 EKABO Q35 DORSU H119 ARBEY DCT YMML	2608	LainoaSoftware
KLAX	KSFO	KLAX DCT AVE T259 SNS V25 SANTY DCT EUGEN DCT PIRAT DCT PASIF DCT KSFO	2608	LainoaSoftware
ZBAA	ZGSZ	ZBAA DCT ELKUR W40 PANKI DCT UNVON W4 IPNIT W37 GUSIV V52 OPUNI R473 BEMAG V5 CON W6 SAREX DCT ZGSZ	2608	LainoaSoftware
PHNL	PHOG	PHNL DCT ENSKY DCT JULLE V16 LNY DCT PHOG	2608	LainoaSoftware
PHOG	PHNL	PHOG DCT TAAKA DCT EELIO DCT CHAIN DCT PHNL	2608	LainoaSoftware
KSFO	KLAX	KSFO DCT YYUNG DCT PRB DCT RDHOT DCT AVE DCT DOUIT DCT KLAX	2608	LainoaSoftware
VOBL	VABB	VOBL DCT VAGPU Q8 AGELA DCT VABB	2608	LainoaSoftware
PHNL	PHLI	PHNL DCT PIPLN DCT SHIGI T346 LIH DCT PHLI	2607	LainoaSoftware
RJTT	RJOO	RJTT DCT GUSRO Y20 SUGAL Y88 NAKTU Y12 KOHWA Y546 AGPUK DCT RJOO	2608	LainoaSoftware
RJOO	RJTT	RJOO DCT SHTLE Y71 XAC DCT RJTT	2608	LainoaSoftware
KLAX	KLAS	KLAX DCT DAG DCT KLAS	2608	LainoaSoftware
VABB	VOBL	VABB DCT MB397 DCT BBB Q13 BEKUT Q9 RIKBU DCT VOBL	2608	LainoaSoftware
NZAA	NZCH	NZAA DCT IGBAT H384 NP H252 NS Y288 IPRAK DCT NZCH	2608	LainoaSoftware
KLAX	KJFK	KLAX DCT KJFK	2608	LainoaSoftware
KLAS	KLAX	KLAS DCT RADYR DCT WOPMA T359 DANBY V21 HEC DCT KLAX	2608	LainoaSoftware
KJFK	KLAX	KJFK DCT KLAX	2608	LainoaSoftware
PHNL	PHNY	PHNL DCT ENSKY DCT JULLE V16 SAKKI DCT GRAMY DCT HAVBI DCT PHNY	2607	LainoaSoftware
VVDN	VVTS	VVDN DCT KUMUN W2 PCA W12 RUNOP DCT VVTS	2608	LainoaSoftware
WMKK	WBKK	WMKK DCT RUSBU Y511 TOPOR W534 VJB A224 VMR N884 LUSMO M758 VIDIP DCT WBKK	2608	LainoaSoftware
NZCH	NZAA	NZCH DCT GLENN Y175 OPABI Q126 HN DCT NZAA	2608	LainoaSoftware
MMMX	MMMY	MMMX DCT IKLAN DCT ADRAX J21 SESNO UJ15E RETOS DCT MMMY	2608	LainoaSoftware
KLGA	KORD	KLGA DCT ASALT DCT RENUE V6 FJC J146 MIP V232 WATSO T434 SCAAM Q186 ZIINE DCT STASH DCT KORD	2608	LainoaSoftware
KVRB	KFPR	KVRB DCT XPRSO DCT KFPR	2607	LainoaSoftware
RKSI	VHHH	RKSI DCT BINIL G597 AGAVO A591 IKEKA V112 LATUX DCT IDVEL B221 ODULO V2 UDOXI DCT PD506 DCT PK DCT OLGAP A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R473 SIERA DCT VHHH	2608	LainoaSoftware
PHNL	PHMK	PHNL DCT PIPLN DCT PALAY DCT PHMK	2607	LainoaSoftware
KORD	KLGA	KORD DCT STASH DCT GIJ J554 CRL J190 ZORBO Q190 WIGGZ DCT ETG DCT KLGA	2608	LainoaSoftware
VVTS	VVDN	VVTS DCT PATMA Q2 LATOM DCT VVDN	2608	LainoaSoftware
CYYC	CYVR	CYYC DCT BOTAG Q894 BOOTH DCT TASDI T645 BUICK DCT CYVR	2608	LainoaSoftware
WARR	WIII	WARR DCT LASEM M766 IMU DCT WIII	2608	LainoaSoftware
VTBD	VTCC	VTBD DCT SEMBO A464 ENBAT DCT VTCC	2608	LainoaSoftware
CYUL	CYYZ	CYUL DCT VERTI Q921 IPTOS Q905 BOMET DCT UDNOX DCT CYYZ	2608	LainoaSoftware
OERK	OMDB	OERK DCT OTALI M440 SITER T142 LADBO P693 BUNDU B415 KUGTO Q415 IMPED DCT OMDB	2608	LainoaSoftware
OMDB	OERK	OMDB DCT IVURO M677 TUKSI P699 IVOXI N571 TUDIS P699 OXARI M430 MEPDA DCT OERK	2608	LainoaSoftware
PAEN	PANC	PAEN DCT GASTO DCT ENA DCT PANC	2608	LainoaSoftware
PANC	PAEN	PANC DCT NAPTO V388 ENA DCT PAEN	2607	LainoaSoftware
PHNY	PHNL	PHNY DCT HLONO DCT SAKKI DCT PHNL	2608	LainoaSoftware
YSSY	YBCG	YSSY DCT OLSEM H252 BANDA Y43 VESOK DCT YBCG	2608	LainoaSoftware
MMMY	MMMX	MMMY DCT KERGA UT132 DARAN DCT MMMX	2608	LainoaSoftware
WMKK	WIII	WMKK DCT RUSBU Y511 TOPOR A464 ARAMA P501 POSOG B469 BIDAK DCT WIII	2608	LainoaSoftware
PHMK	PHNL	PHMK DCT KALAE DCT SAKKI DCT PHNL	2608	LainoaSoftware
WBKK	WMKK	WBKK DCT VIDIP M758 IDSEL Y335 PADLI Y343 SAROX DCT WMKK	2608	LainoaSoftware
WIII	WARR	WIII DCT CA T3 ANY G461 BA DCT WARR	2608	LainoaSoftware
ULLI	UUEE	ULLI DCT SUGIN T873 NIRGI T73 NAMIN DCT UUEE	2608	LainoaSoftware
CYVR	CYYC	CYVR DCT BOOTH Q828 NOVAR DCT MENBO Q983 NORET DCT CYYC	2608	LainoaSoftware
UUEE	ULLI	UUEE DCT TOKNU L4 NUDKO T561 ODATI T875 GENPA DCT ULLI	2608	LainoaSoftware
CYYZ	CYUL	CYYZ DCT MIGLO DCT CYUL	2608	LainoaSoftware
WIII	WMKK	WIII DCT RIMTI M766 TKG G209 PLB A585 PKU N633 SALAX DCT WMKK	2608	LainoaSoftware
PHLI	PHNL	PHLI DCT KAUAI DCT OUCHI DCT PHNL	2608	LainoaSoftware
WIMM	WIII	WIMM DCT NOKEL W11 TKG DCT WIII	2608	LainoaSoftware
VTCC	VTBD	VTCC DCT ENBAT A464 SEMBO DCT VTBD	2608	LainoaSoftware
RJAA	RCTP	RJAA DCT AKAGI Y88 SWING Y121 LABEL Y50 KOSHI A1 DRAKE DCT RCTP	2608	LainoaSoftware
YBCG	YSSY	YBCG DCT APAGI H91 SANAD DCT YSSY	2608	LainoaSoftware
VVNB	VVDN	VVNB DCT NAH Q1 CAHEO DCT VVDN	2608	LainoaSoftware
CYVR	CYYZ	CYVR DCT TASDI T645 SENSA T800 YXC V300 YQL J478 GGW V430 FONIA T331 DLH V217 GRB DCT CEWDA Q812 CFQHD DCT LOKPU DCT CYYZ	2608	LainoaSoftware
WIII	WIMM	WIII DCT GOMEL T10 ENSAV DCT GUSKO A585 PKU W12 MEDIA DCT WIMM	2608	LainoaSoftware
CYYZ	CYVR	CYYZ DCT OAKVL DCT BOREK Q830 LOPVO DCT AVSOX DCT DERLO Q802 PEPLA Q140 WOBED DCT BUICK DCT CYVR	2608	LainoaSoftware
PHNL	PHKO	PHNL DCT JORDA V20 FIRES DCT PHKO	2608	LainoaSoftware
SKCL	SKBO	SKCL DCT TOLIM DCT SKBO	2608	LainoaSoftware
DNAA	DNMM	DNAA DCT IKSEM DCT VONUK H340 ERSED DCT DNMM	2608	LainoaSoftware
WMKK	WBGG	WMKK DCT RUSBU Y511 TOPOR W534 VJB W651 OMKOM W401 HOSBA G580 TOMAN M646 SABIP M761 ESBAL DCT WBGG	2608	LainoaSoftware
VHHH	VTBS	VHHH DCT RUMSY DCT SIERA DCT UJ V21 TOMUD R200 BIGRO G221 SAMAS A202 RAMEI W42 PAKRI Y13 RUKSA DCT VTBS	2608	LainoaSoftware
MMMX	MMUN	MMMX DCT NOXOS T106 ILOLU UT106 ANADU UT155 ELURA UT17 PERGO UT23 XUDUN DCT MMUN	2608	LainoaSoftware
VVDN	VVNB	VVDN DCT KONCO W2 NAH DCT VVNB	2608	LainoaSoftware
VHHH	RKSI	VHHH DCT LEKEN V601 DOTMI A470 LJG B221 SHZ G204 AND B221 GOVNI V140 IDNIK V141 ALDAP G455 MATNU W108 SOSMA W113 IKADI A326 OMLIB W209 AGAVO Y644 REBIT DCT RKSI	2608	LainoaSoftware
VTBS	VHHH	VTBS DCT SELKA A1 TOPER W42 RAMEI A202 SAMAS G221 BIGRO W552 UJ DCT SIERA DCT VHHH	2608	LainoaSoftware
VTSP	VTBS	VTSP DCT SAVSA G458 HOTEL DCT VTBS	2608	LainoaSoftware
VTBS	VTSP	VTBS DCT UKERA G458 MENEX W34 IGEVI DCT VTSP	2608	LainoaSoftware
WAAA	WIII	WAAA DCT NUNLU T6 KURUS DCT WIII	2608	LainoaSoftware
ZBAA	ZUUU	ZBAA DCT RUSDO W45 ATMIL W276 ESKUG DCT ANRUG W279 ONEBA G212 SUBUL W230 AKDIK DCT ZUUU	2608	LainoaSoftware
ZUUU	ZBAA	ZUUU DCT PEBMO W694 IPDOX W277 MUMOD W47 LOVRA DCT WJC G212 TONOV V152 GUVRI W56 DUGEB DCT ZBAA	2608	LainoaSoftware
ZSPD	ZYHB	ZSPD DCT ODULO B221 IDVEL DCT LAROP W172 TEKAM V68 DOBGA A326 SANKO W107 CHI A588 NULRA W206 MAGBI W656 ISLUK W629 LARUN DCT ZYHB	2608	LainoaSoftware
ZUCK	ZGGG	ZUCK DCT VILUS V50 UGUGU W182 LAGEX G586 SJG W2 PA W524 Y W523 GMC G586 PUNIR W45 IKAVO DCT ZGGG	2608	LainoaSoftware
SKBO	SKCL	SKBO DCT BO527 DCT GIR R564 OREGA DCT SKCL	2608	LainoaSoftware
WBGG	WMKK	WBGG DCT TEMES W443 KAMIN G334 SAROX DCT WMKK	2608	LainoaSoftware
ZGGG	ZUCK	ZGGG DCT AGVIL W24 OSNOV G586 GMC B330 SJG G586 LAGEX W182 UGUGU V50 VILUS DCT SEGDA DCT ZUCK	2608	LainoaSoftware
ZUCK	ZGSZ	ZUCK DCT CK425 DCT ODOSI DCT SEGDA DCT VILUS V50 UGUGU W182 LAGEX G586 SJG B330 AVPAM A599 POU W7 SAREX DCT ZGSZ	2608	LainoaSoftware
KPHX	KDEN	KPHX DCT CARTL DCT JUWSO V12 INW J44 RSK V421 LAZON DCT LOPEC DCT KDEN	2608	LainoaSoftware
DNMM	DNAA	DNMM DCT IBA R778 KELIG UW951 MESES DCT DNAA	2608	LainoaSoftware
RJAA	VHHH	RJAA DCT SAMUS T844 ISLOL Y86 YULIA Y293 GAKIA Z29 BORDO R583 APU A1 MAGOG V512 ABBEY DCT VHHH	2608	LainoaSoftware
ZBAD	ZGGG	ZBAD DCT OMDEK W37 DUBAS DCT DCD W672 IGNIK W37 GUSIV V52 OPUNI R473 BEMAG V5 IRTAT DCT ZGGG	2608	LainoaSoftware
KDEN	KPHX	KDEN DCT HBU J10 RSK J44 INW DCT KPHX	2608	LainoaSoftware
ZGSZ	ZUCK	ZGSZ DCT TOMUD V21 AVPAM B330 SJG G586 LAGEX W182 UGUGU V50 VILUS DCT SEGDA DCT ZUCK	2608	LainoaSoftware
RJFF	RKSI	RJFF DCT DGC G339 PSN A582 MAKDU DCT UPTIL DCT OLMEN DCT RKSI	2608	LainoaSoftware
RKSI	RJFF	RKSI DCT OSPOT A582 TGU W526 MASTA Y781 BESNA Y209 SARUP DCT RJFF	2608	LainoaSoftware
VTSP	VTBD	VTSP DCT SAVSA G458 HOTEL DCT VTBD	2608	LainoaSoftware
WIII	WAAA	WIII DCT CA T5 BIMAK DCT WAAA	2608	LainoaSoftware
RCTP	RJAA	RCTP DCT MOLKA M750 MUKEP Y891 AGIMO Y89 GUPER Y81 RUTAS DCT RJAA	2608	LainoaSoftware
ZGGG	ZBAD	ZGGG DCT MIKIP A461 WXI W4 VADMO W56 LEBUN W57 BEKDO W157 AVBOX DCT ZBAD	2608	LainoaSoftware
ZYHB	ZSPD	ZYHB DCT IGADO G212 HRB A588 CHI W107 SANKO A326 SURAK G455 MATNU DCT ZSPD	2608	LainoaSoftware
SPZO	SPJC	SPZO DCT GAXUN UT321 UDENI T332 PEROV DCT SPJC	2608	LainoaSoftware
HECA	OERK	HECA DCT GETAN DCT RUKET N697 HIL G662 SIVIS DCT OERK	2608	LainoaSoftware
ZGGG	ZBAA	ZGGG DCT MIKIP A461 BUBDA W56 LEBUN W57 BEKDO W157 AVBOX DCT ZBAA	2608	LainoaSoftware
MMUN	MMMX	MMUN DCT UDGUV UT78 MEDOS UT20 UBVOV UT101 ENAGA DCT MMMX	2608	LainoaSoftware
OERK	HECA	OERK DCT LONIB T503 SERPU G674 GAS G662 HIL N697 RUKET L550 NOVPA N697 MENLI L677 CVO DCT HECA	2607	LainoaSoftware
SPJC	SPZO	SPJC DCT ILVAG DCT JCL T319 DARKI DCT SPZO	2608	LainoaSoftware
KMCO	KATL	KMCO DCT PAINN DCT OVENP DCT CRG V267 HABLE T425 CROCS DCT LARZZ DCT KATL	2608	LainoaSoftware
KBOS	KDCA	KBOS DCT PATSS DCT PUT T212 DARTH DCT HFD V3 CMK V188 NYACK V3 SBJ Q75 MXE DCT KDCA	2608	LainoaSoftware
VHHH	RJAA	VHHH DCT DALOL V621 ELATO A1 APU G587 LEKOS M750 MADOG Y753 JAKAL A1 KEC V52 SHIMA Y12 KOHWA Y55 GAKKI Y295 KOSKA DCT PIGOK DCT MESSE DCT BINKS DCT RJAA	2608	LainoaSoftware
KATL	KLGA	KATL DCT BURGG DCT ENADE T206 FADOS DCT BTSEY DCT BONZE T414 GVE DCT KLGA	2608	LainoaSoftware
RPVE	RPLL	RPVE DCT MINOR B473 LAIYA DCT RPLL	2608	LainoaSoftware
VIDP	VOHS	VIDP DCT AKRIB Z16 BULDI Q23 DULAR W19 BDR DCT SUSMA DCT VOHS	2608	LainoaSoftware
RKPC	RKTU	RKPC DCT KAMIT Y722 OLMEN DCT OSPOT DCT RKTU	2608	LainoaSoftware
VOHS	VIDP	VOHS DCT BUSBO J3 BPL Q24 BAVOX DCT VIDP	2608	LainoaSoftware
KDCA	KBOS	KDCA DCT SWANN V123 BRAND Q22 LAURN Q419 JFK DCT KBOS	2608	LainoaSoftware
RKTU	RKPC	RKTU DCT BULTI Y711 DOTOL DCT RKPC	2608	LainoaSoftware
ZBAA	ZSHC	ZBAA DCT AA197 DCT PEGSO DCT DUGEB DCT AD453 DCT ELKUR W40 YQG W142 DALIM A593 DPX A470 IGRAT DCT ZSHC	2608	LainoaSoftware
VTBD	VTSP	VTBD DCT UKERA G458 MENEX W34 IGEVI DCT VTSP	2608	LainoaSoftware
KLGA	KATL	KLGA DCT ASALT DCT RENUE V123 RBV Q34 GVE T414 BONZE T224 GENOD T215 BURGG T484 MILBY DCT BIGNN DCT WINNG DCT KATL	2608	LainoaSoftware
KATL	KMCO	KATL DCT GAIRY DCT GLOSS T224 SINCA T425 RIPPI V179 DBN V157 GNV DCT COAXE DCT KMCO	2608	LainoaSoftware
RPLL	RPVE	RPLL DCT IBAGO B472 TAPER DCT RPVE	2608	LainoaSoftware
ZSHC	ZBAA	ZSHC DCT NIVIK W135 DOGVI A470 DPX A593 DALIM W157 AVBOX DCT ZBAA	2608	LainoaSoftware
ZSNJ	ZGGG	ZSNJ DCT HFE W50 IDUKI V169 EMRAL W530 BIRIR W531 OSONO W19 PLT A599 SALIV DCT ENVIP DCT ZGGG	2608	LainoaSoftware
RKPC	RKPK	RKPC DCT AKPON Y571 ANROD DCT RKPK	2608	LainoaSoftware
VRMM	VRMD	VRMM DCT PILIK DCT BEKEB DCT VRMD	2607	LainoaSoftware
ROAH	RJFF	ROAH DCT ESKOB DCT JILEE DCT OKUMA A582 BOMAP Y25 KOSHI Y501 ADNOK DCT HINAG G339 OMUTA DCT HONOK DCT RJFF	2608	LainoaSoftware
ZBAA	ZGGG	ZBAA DCT ELKUR W40 PANKI DCT UNVON W4 IPNIT W37 GUSIV V52 OPUNI R473 BEMAG V5 IRTAT DCT ZGGG	2608	LainoaSoftware
ZGGG	ZSNJ	ZGGG DCT BOVMA W41 OMDUP G471 PLT A599 TUPGA W135 EMRID V143 SAPIN A470 OROTU V7 ATLIX R343 ESBAG DCT ZSNJ	2608	LainoaSoftware
RKSI	ZSPD	RKSI DCT BINIL G597 AGAVO W209 OMLIB A326 SURAK G455 MATNU DCT ZSPD	2608	LainoaSoftware
TIST	TJSJ	TIST DCT GOTAY DCT PALCO RTE6 STT B520 PJM DCT TJSJ	2608	LainoaSoftware
KLAX	KPHX	KLAX DCT CLEEE DCT SHADI J169 BLH DCT KPHX	2608	LainoaSoftware
ZSPD	VHHH	ZSPD DCT ADBAS DCT HC207 DCT DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R473 SIERA DCT VHHH	2608	LainoaSoftware
RKPK	RKPC	RKPK DCT OPONO DCT SARAM Z83 ENGOT Y572 UPGOS DCT RKPC	2608	LainoaSoftware
SKBO	SKCG	SKBO DCT OSUSU DCT GEVBA V709 PAL V710 OBLUL Z030 CZU G430 UGSOL DCT SKCG	2608	LainoaSoftware
KPHX	KLAX	KPHX DCT BLH J65 DECAS DCT TNP DCT KLAX	2608	LainoaSoftware
MMGL	MMMX	MMGL DCT KELVA UT126 XOSAS UJ17 QET UT150 DARAN DCT MMMX	2608	LainoaSoftware
KDAB	KOMN	KDAB DCT CRG DCT KOMN	2609	LainoaSoftware
YBCG	YMML	YBCG DCT APAGI Q58 POSUT W411 TW W359 MUDGI W785 DU Y14 VIRUR W654 WG V410 TEMIS V169 BOYSE DCT YMML	2608	LainoaSoftware
ZLXY	ZGSZ	ZLXY DCT ESKUG W276 AVDIG W666 VINEX V38 ENH W139 DYG W138 XOPEK W45 TAN DCT TEPID DCT GG614 DCT SAREX DCT ZGSZ	2608	LainoaSoftware
RJFF	ROAH	RJFF DCT CARSE DCT WOODY V54 HKC A582 ENPAD Y45 OLSER A582 ONC Y525 IHEYA DCT ROAH	2608	LainoaSoftware
ZGSZ	ZLXY	ZGSZ DCT TOMUD V21 AVPAM B330 SJG W102 VELVI W698 IGEPA DCT ZLXY	2608	LainoaSoftware
KFLL	KATL	KFLL DCT DUCEN Q87 OVENP DCT CRG V267 DBN DCT LARZZ DCT KATL	2608	LainoaSoftware
VVTS	VVPQ	VVTS DCT ATGAS W17 TUNPO DCT VVPQ	2608	LainoaSoftware
YMML	YPAD	YMML DCT PEDNI H345 MAVTO DCT YPAD	2608	LainoaSoftware
ZUUU	ZGSZ	ZUUU DCT IDBOR B330 AVPAM A599 POU W7 SAREX DCT ZGSZ	2608	LainoaSoftware
MMMX	MMGL	MMMX DCT OVAGO UT123 IGSON DCT MMGL	2608	LainoaSoftware
YMML	YBCG	YMML DCT MNG W524 WG W654 CWR W137 SPLIZ H66 URKER Y54 OVREX DCT YBCG	2608	LainoaSoftware
ZGSZ	ZUUU	ZGSZ DCT TOMUD V21 AVPAM B330 ELKAL W179 RIRKI W232 PAMLO W25 WLY W179 IGNAK DCT ZUUU	2608	LainoaSoftware
UAAA	UACC	UAAA DCT GOGDO P984 KONAT Z160 OGLAB N170 LUKUS W333 NEMKU N170 ARNIR T523 BEDKA DCT UACC	2608	LainoaSoftware
VVPQ	VVTS	VVPQ DCT TUNPO W17 ATGAS DCT VVTS	2608	LainoaSoftware
VRMD	VRMM	VRMD DCT MUNUT DCT VRMM	2608	LainoaSoftware
